"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20170801","화","여","60대이상","서울특별시","구로구","구로동","치킨","5"
"20170801","화","남","40대","서울특별시","구로구","신도림동","치킨","42"
"20170801","화","여","40대","서울특별시","구로구","신도림동","치킨","71"
"20170801","화","여","60대이상","서울특별시","구로구","궁동","치킨","5"
"20170801","화","여","60대이상","서울특별시","구로구","신도림동","치킨","11"
"20170801","화","남","20대","서울특별시","금천구","가산동","치킨","24"
"20170801","화","남","20대","서울특별시","금천구","독산동","치킨","6"
"20170801","화","남","30대","서울특별시","금천구","독산동","치킨","11"
"20170801","화","남","40대","서울특별시","금천구","독산동","치킨","5"
"20170801","화","남","50대","서울특별시","금천구","독산동","치킨","5"
"20170801","화","남","50대","서울특별시","금천구","시흥동","치킨","5"
"20170801","화","남","60대이상","서울특별시","금천구","가산동","치킨","5"
"20170801","화","남","10대","서울특별시","금천구","독산동","치킨","8"
"20170801","화","여","10대","서울특별시","금천구","독산동","치킨","5"
"20170801","화","여","20대","서울특별시","금천구","독산동","치킨","5"
"20170801","화","여","20대","서울특별시","금천구","시흥동","치킨","5"
"20170801","화","남","10대","서울특별시","금천구","가산동","치킨","8"
"20170801","화","여","20대","서울특별시","금천구","가산동","치킨","15"
"20170801","화","여","30대","서울특별시","금천구","독산동","치킨","5"
"20170801","화","남","10대","서울특별시","금천구","시흥동","치킨","5"
"20170801","화","여","40대","서울특별시","금천구","가산동","치킨","31"
"20170801","화","여","30대","서울특별시","금천구","가산동","치킨","24"
"20170801","화","남","20대","서울특별시","금천구","시흥동","치킨","5"
"20170801","화","여","40대","서울특별시","금천구","시흥동","치킨","5"
"20170801","화","여","10대","서울특별시","금천구","가산동","치킨","6"
"20170801","화","남","40대","서울특별시","금천구","가산동","치킨","17"
"20170801","화","여","40대","서울특별시","금천구","독산동","치킨","5"
"20170801","화","남","30대","서울특별시","금천구","가산동","치킨","32"
"20170801","화","여","50대","서울특별시","금천구","가산동","치킨","14"
"20170801","화","여","50대","서울특별시","금천구","시흥동","치킨","5"
"20170801","화","여","60대이상","서울특별시","금천구","가산동","치킨","6"
"20170801","화","남","30대","서울특별시","금천구","시흥동","치킨","7"
"20170801","화","여","10대","서울특별시","금천구","시흥동","치킨","5"
"20170801","화","여","60대이상","서울특별시","금천구","독산동","치킨","5"
"20170801","화","남","50대","서울특별시","금천구","가산동","치킨","21"
"20170801","화","여","60대이상","서울특별시","금천구","시흥동","치킨","5"
"20170801","화","여","30대","서울특별시","금천구","시흥동","치킨","6"
"20170801","화","남","10대","서울특별시","노원구","상계동","치킨","30"
"20170801","화","남","20대","서울특별시","노원구","상계동","치킨","54"
"20170801","화","남","20대","서울특별시","노원구","중계동","치킨","5"
"20170801","화","남","30대","서울특별시","노원구","상계동","치킨","44"
"20170801","화","남","40대","서울특별시","노원구","월계동","치킨","5"
"20170801","화","남","20대","서울특별시","노원구","공릉동","치킨","7"
"20170801","화","남","40대","서울특별시","노원구","중계동","치킨","5"
"20170801","화","남","50대","서울특별시","노원구","월계동","치킨","5"
"20170801","화","남","50대","서울특별시","노원구","중계동","치킨","5"
"20170801","화","남","60대이상","서울특별시","노원구","월계동","치킨","5"
"20170801","화","여","10대","서울특별시","노원구","공릉동","치킨","5"
"20170801","화","남","10대","서울특별시","노원구","중계동","치킨","5"
"20170801","화","남","30대","서울특별시","노원구","공릉동","치킨","7"
"20170801","화","여","10대","서울특별시","노원구","상계동","치킨","18"
"20170801","화","여","10대","서울특별시","노원구","월계동","치킨","5"
