"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20170405","수","남","20대","서울특별시","중구","수하동","치킨","9"
"20170405","수","여","60대이상","서울특별시","중구","주교동","치킨","5"
"20170405","수","여","30대","서울특별시","중구","충무로4가","치킨","5"
"20170405","수","남","60대이상","서울특별시","중랑구","면목동","치킨","8"
"20170405","수","남","20대","서울특별시","중랑구","신내동","치킨","5"
"20170405","수","남","50대","서울특별시","중랑구","면목동","치킨","18"
"20170405","수","남","20대","서울특별시","중랑구","면목동","치킨","38"
"20170405","수","남","50대","서울특별시","중랑구","신내동","치킨","5"
"20170405","수","여","10대","서울특별시","중랑구","묵동","치킨","5"
"20170405","수","남","50대","서울특별시","중랑구","묵동","치킨","5"
"20170405","수","여","10대","서울특별시","중랑구","면목동","치킨","8"
"20170405","수","남","20대","서울특별시","중랑구","묵동","치킨","5"
"20170405","수","여","50대","서울특별시","중랑구","묵동","치킨","5"
"20170405","수","여","60대이상","서울특별시","중랑구","상봉동","치킨","5"
"20170405","수","여","60대이상","서울특별시","중랑구","묵동","치킨","5"
"20170405","수","남","10대","서울특별시","중랑구","면목동","치킨","15"
"20170405","수","여","20대","서울특별시","중랑구","상봉동","치킨","5"
"20170405","수","여","40대","서울특별시","중랑구","중화동","치킨","5"
"20170405","수","남","50대","서울특별시","중랑구","망우동","치킨","5"
"20170405","수","여","60대이상","서울특별시","중랑구","면목동","치킨","7"
"20170405","수","여","20대","서울특별시","중랑구","신내동","치킨","5"
"20170405","수","여","50대","서울특별시","중랑구","면목동","치킨","21"
"20170405","수","여","20대","서울특별시","중랑구","면목동","치킨","25"
"20170405","수","여","50대","서울특별시","중랑구","신내동","치킨","5"
"20170405","수","남","20대","서울특별시","중랑구","망우동","치킨","5"
"20170405","수","남","30대","서울특별시","중랑구","망우동","치킨","5"
"20170405","수","여","30대","서울특별시","중랑구","면목동","치킨","59"
"20170405","수","여","30대","서울특별시","중랑구","신내동","치킨","9"
"20170405","수","여","40대","서울특별시","중랑구","망우동","치킨","5"
"20170405","수","남","40대","서울특별시","중랑구","면목동","치킨","27"
"20170405","수","여","30대","서울특별시","중랑구","묵동","치킨","5"
"20170405","수","여","30대","서울특별시","중랑구","상봉동","치킨","5"
"20170405","수","남","40대","서울특별시","중랑구","묵동","치킨","5"
"20170405","수","남","30대","서울특별시","중랑구","묵동","치킨","5"
"20170405","수","여","40대","서울특별시","중랑구","묵동","치킨","5"
"20170405","수","여","40대","서울특별시","중랑구","신내동","치킨","5"
"20170405","수","남","30대","서울특별시","중랑구","면목동","치킨","57"
"20170405","수","여","40대","서울특별시","중랑구","면목동","치킨","42"
"20170406","목","여","30대","서울특별시","강남구","역삼동","치킨","39"
"20170406","목","여","20대","서울특별시","강남구","세곡동","치킨","5"
"20170406","목","여","30대","서울특별시","강남구","도곡동","치킨","9"
"20170406","목","여","30대","서울특별시","강남구","일원동","치킨","5"
"20170406","목","남","60대이상","서울특별시","강남구","수서동","치킨","5"
"20170406","목","남","10대","서울특별시","강남구","대치동","치킨","5"
"20170406","목","남","30대","서울특별시","강남구","개포동","치킨","12"
"20170406","목","남","40대","서울특별시","강남구","역삼동","치킨","32"
"20170406","목","남","40대","서울특별시","강남구","도곡동","치킨","5"
"20170406","목","여","40대","서울특별시","강남구","개포동","치킨","20"
"20170406","목","여","50대","서울특별시","강남구","세곡동","치킨","5"
"20170406","목","여","20대","서울특별시","강남구","대치동","치킨","8"
"20170406","목","남","30대","서울특별시","강남구","삼성동","치킨","46"
"20170406","목","남","30대","서울특별시","강남구","신사동","치킨","5"
"20170406","목","여","30대","서울특별시","강남구","논현동","치킨","19"
"20170406","목","여","40대","서울특별시","강남구","삼성동","치킨","61"
"20170406","목","여","50대","서울특별시","강남구","대치동","치킨","5"
"20170406","목","여","40대","서울특별시","강남구","신사동","치킨","5"
"20170406","목","남","40대","서울특별시","강남구","논현동","치킨","11"
"20170406","목","남","20대","서울특별시","강남구","대치동","치킨","5"
"20170406","목","여","30대","서울특별시","강남구","삼성동","치킨","30"
"20170406","목","여","30대","서울특별시","강남구","신사동","치킨","5"
"20170406","목","남","30대","서울특별시","강남구","논현동","치킨","27"
"20170406","목","남","60대이상","서울특별시","강남구","대치동","치킨","5"
"20170406","목","남","40대","서울특별시","강남구","삼성동","치킨","20"
"20170406","목","남","40대","서울특별시","강남구","신사동","치킨","5"
"20170406","목","남","50대","서울특별시","강남구","대치동","치킨","5"
"20170406","목","여","20대","서울특별시","강남구","압구정동","치킨","5"
"20170406","목","여","40대","서울특별시","강남구","논현동","치킨","33"
"20170406","목","남","30대","서울특별시","강남구","도곡동","치킨","5"
"20170406","목","남","30대","서울특별시","강남구","일원동","치킨","5"
"20170406","목","남","30대","서울특별시","강남구","역삼동","치킨","56"
"20170406","목","여","30대","서울특별시","강남구","개포동","치킨","13"
"20170406","목","여","40대","서울특별시","강남구","도곡동","치킨","5"
"20170406","목","여","40대","서울특별시","강남구","일원동","치킨","5"
"20170406","목","여","40대","서울특별시","강남구","역삼동","치킨","41"
"20170406","목","남","40대","서울특별시","강남구","개포동","치킨","8"
"20170406","목","남","50대","서울특별시","강남구","역삼동","치킨","7"
"20170406","목","남","50대","서울특별시","강남구","도곡동","치킨","5"
"20170406","목","여","60대이상","서울특별시","강남구","개포동","치킨","5"
"20170406","목","여","50대","서울특별시","강남구","개포동","치킨","8"
"20170406","목","남","60대이상","서울특별시","강남구","일원동","치킨","5"
"20170406","목","여","30대","서울특별시","강남구","수서동","치킨","5"
"20170406","목","남","60대이상","서울특별시","강남구","역삼동","치킨","5"
"20170406","목","여","40대","서울특별시","강남구","세곡동","치킨","5"
"20170406","목","남","20대","서울특별시","강남구","청담동","치킨","5"
"20170406","목","여","20대","서울특별시","강남구","개포동","치킨","5"
"20170406","목","남","10대","서울특별시","강남구","삼성동","치킨","15"
"20170406","목","남","20대","서울특별시","강남구","일원동","치킨","5"
"20170406","목","남","40대","서울특별시","강남구","수서동","치킨","5"
"20170406","목","남","20대","서울특별시","강남구","역삼동","치킨","33"
"20170406","목","남","30대","서울특별시","강남구","세곡동","치킨","5"
"20170406","목","남","20대","서울특별시","강남구","도곡동","치킨","5"
"20170406","목","남","60대이상","서울특별시","강남구","논현동","치킨","5"
"20170406","목","여","60대이상","서울특별시","강남구","삼성동","치킨","6"
"20170406","목","여","50대","서울특별시","강남구","삼성동","치킨","33"
"20170406","목","여","40대","서울특별시","강남구","대치동","치킨","11"
"20170406","목","남","50대","서울특별시","강남구","논현동","치킨","12"
"20170406","목","여","20대","서울특별시","강남구","신사동","치킨","5"
"20170406","목","남","20대","서울특별시","강남구","논현동","치킨","23"
"20170406","목","남","10대","서울특별시","강남구","개포동","치킨","5"
"20170406","목","여","20대","서울특별시","강남구","삼성동","치킨","10"
"20170406","목","남","30대","서울특별시","강남구","대치동","치킨","5"
"20170406","목","여","10대","서울특별시","강남구","역삼동","치킨","5"
"20170406","목","여","10대","서울특별시","강남구","도곡동","치킨","5"
"20170406","목","여","10대","서울특별시","강남구","일원동","치킨","5"
"20170406","목","남","60대이상","서울특별시","강남구","삼성동","치킨","6"
"20170406","목","여","60대이상","서울특별시","강남구","논현동","치킨","5"
"20170406","목","남","50대","서울특별시","강남구","삼성동","치킨","12"
"20170406","목","남","40대","서울특별시","강남구","대치동","치킨","5"
"20170406","목","여","50대","서울특별시","강남구","논현동","치킨","10"
"20170406","목","여","20대","서울특별시","강남구","논현동","치킨","6"
"20170406","목","여","10대","서울특별시","강남구","개포동","치킨","5"
"20170406","목","남","20대","서울특별시","강남구","삼성동","치킨","30"
"20170406","목","남","20대","서울특별시","강남구","신사동","치킨","6"
"20170406","목","여","30대","서울특별시","강남구","대치동","치킨","6"
"20170406","목","남","10대","서울특별시","강남구","역삼동","치킨","6"
"20170406","목","남","10대","서울특별시","강남구","도곡동","치킨","5"
"20170406","목","여","50대","서울특별시","강남구","도곡동","치킨","5"
"20170406","목","여","60대이상","서울특별시","강남구","청담동","치킨","5"
"20170406","목","남","60대이상","서울특별시","강남구","개포동","치킨","5"
